,source,target
0,10240,18913
1,8204,7867
2,8204,14502
3,20514,12097
4,20514,9861
5,12325,2007
6,12325,5814
7,8232,21121
8,8232,19063
9,2089,16814
10,2089,1234
11,2089,18353
12,41,21163
13,41,15413
14,8236,760
15,6189,375
16,6189,2565
17,6189,3672
18,6189,3865
19,6189,11467
20,6189,10102
21,6189,8770
22,6189,7828
23,44,568
24,44,2160
25,44,18624
26,4145,15757
27,14387,14387
28,8253,4739
29,20542,7802
30,20542,11178
31,20543,8443
32,6213,4956
33,6213,11579
34,6213,20770
35,2121,7663
36,2121,18171
37,18515,21163
38,88,1271
39,91,16270
40,6252,21329
41,2160,568
42,10357,21309
43,10362,5663
44,4233,2813
45,138,20182
46,14476,1912
47,14476,9496
48,14476,10437
49,16537,6507
50,12442,11212
51,10395,3862
52,10395,8443
53,14502,1912
54,14502,9496
55,14502,4648
56,14502,19225
57,14503,1872
58,12460,3083
59,8380,18078
60,20669,5349
61,8382,6653
62,2239,4907
63,2239,5715
64,4288,7826
65,4289,10852
66,12480,9368
67,12480,10510
68,18624,568
69,4296,776
70,4296,10488
71,4296,9752
72,4296,20899
73,18653,12586
74,4325,21523
75,10472,21783
76,12521,15749
77,12521,8005
78,12521,5926
79,18663,15796
80,20745,6049
81,10510,14282
82,10510,9368
83,10510,2557
84,8473,1271
85,20769,2418
86,20769,21621
87,20770,11415
88,20770,8841
89,2339,21549
90,2349,5519
91,16700,16700
92,8514,16128
93,14659,1084
94,14659,13346
95,14663,15593
96,2399,15714
97,18782,562
98,18786,17849
99,375,7828
100,8572,10969
101,383,496
102,402,7663
103,402,18171
104,402,8860
105,403,9368
106,403,21349
107,6551,11389
108,6551,21409
109,16809,20288
110,16809,17718
111,16809,19770
112,2491,5812
113,4560,19063
114,4560,1084
115,2524,16954
116,18913,496
117,487,3612
118,20967,9496
119,20967,17488
120,4585,3040
121,496,9379
122,496,21475
123,496,1017
124,496,11301
125,12786,5149
126,12786,15714
127,8703,16347
128,16896,11178
129,2557,9368
130,21012,7663
131,21017,19862
132,2594,16261
133,4648,4907
134,4648,15181
135,567,1271
136,14913,3318
137,2626,3896
138,4676,9379
139,4676,1330
140,8782,11212
141,613,9987
142,14963,3896
143,4734,15714
144,2712,21349
145,19098,18129
146,12959,9820
147,697,21375
148,15056,1912
149,15056,9496
150,8916,13918
151,21206,15593
152,8920,7356
153,10969,9987
154,21213,3518
155,13027,1856
156,13027,15812
157,745,3318
158,19187,7989
159,2813,4907
160,11009,21523
161,11030,15867
162,19225,1912
163,19225,9496
164,2840,18198
165,2840,1350
166,11037,13997
167,2847,21475
168,13100,22115
169,4907,5715
170,4907,13861
171,2870,3153
172,6978,4957
173,11090,3142
174,15194,9987
175,13149,7460
176,19326,15538
177,21375,7663
178,13186,13186
179,2958,17571
180,13212,15749
181,15261,21658
182,11166,22041
183,11166,12039
184,17316,5352
185,11198,1912
186,11198,9496
187,21439,3142
188,7114,7663
189,11212,11838
190,17376,7777
191,3040,1271
192,21475,9379
193,21475,14172
194,3056,1184
195,1017,11389
196,7170,11598
197,1036,5149
198,5149,7776
199,5149,15759
200,11301,9714
201,21549,12094
202,21549,21549
203,7222,5289
204,9274,16187
205,9274,16144
206,1088,15714
207,17518,13918
208,11389,9848
209,11389,19841
210,11389,18359
211,17556,21956
212,9368,14282
213,9368,1940
214,3229,17840
215,9379,1330
216,17571,1973
217,15567,1940
218,15567,19783
219,17625,7642
220,13534,3612
221,1271,16187
222,9486,22041
223,9496,1912
224,7460,17848
225,7460,19957
226,1350,18198
227,19788,7683
228,3404,17848
229,11598,11598
230,9560,20083
231,9566,20027
232,15714,16019
233,15714,15991
234,19821,14042
235,7564,16128
236,15760,5683
237,21925,7663
238,1449,15976
239,5563,5563
240,3517,12039
241,21955,21955
242,15812,1513
243,3544,22334
244,7642,20031
245,11784,9866
246,11785,7969
247,11785,16017
248,11789,14000
249,22041,12039
250,15976,11959
251,20083,22293
252,9861,12097
253,18078,10063
254,3862,6067
255,12255,12255
