source,target
10240,18913
8204,7867
8204,14502
20514,12097
20514,9861
12325,2007
12325,5814
8232,21121
8232,19063
2089,16814
2089,1234
2089,18353
41,21163
41,15413
8236,760
6189,375
6189,2565
6189,3672
6189,3865
6189,11467
6189,10102
6189,8770
6189,7828
44,568
44,2160
44,18624
4145,15757
14387,14387
8253,4739
20542,7802
20542,11178
20543,8443
6213,4956
6213,11579
6213,20770
2121,7663
2121,18171
18515,21163
88,1271
91,16270
6252,21329
2160,568
10357,21309
10362,5663
4233,2813
138,20182
14476,1912
14476,9496
14476,10437
16537,6507
12442,11212
10395,3862
10395,8443
14502,1912
14502,9496
14502,4648
14502,19225
14503,1872
12460,3083
8380,18078
20669,5349
8382,6653
2239,4907
2239,5715
4288,7826
4289,10852
12480,9368
12480,10510
18624,568
4296,776
4296,10488
4296,9752
4296,20899
18653,12586
4325,21523
10472,21783
12521,15749
12521,8005
12521,5926
18663,15796
20745,6049
10510,14282
10510,9368
10510,2557
8473,1271
20769,2418
20769,21621
20770,11415
20770,8841
2339,21549
2349,5519
16700,16700
8514,16128
14659,1084
14659,13346
14663,15593
2399,15714
18782,562
18786,17849
375,7828
8572,10969
383,496
402,7663
402,18171
402,8860
403,9368
403,21349
6551,11389
6551,21409
16809,20288
16809,17718
16809,19770
2491,5812
4560,19063
4560,1084
2524,16954
18913,496
487,3612
20967,9496
20967,17488
4585,3040
496,9379
496,21475
496,1017
496,11301
12786,5149
12786,15714
8703,16347
16896,11178
2557,9368
21012,7663
21017,19862
2594,16261
4648,4907
4648,15181
567,1271
14913,3318
2626,3896
4676,9379
4676,1330
8782,11212
613,9987
14963,3896
4734,15714
2712,21349
19098,18129
12959,9820
697,21375
15056,1912
15056,9496
8916,13918
21206,15593
8920,7356
10969,9987
21213,3518
13027,1856
13027,15812
745,3318
19187,7989
2813,4907
11009,21523
11030,15867
19225,1912
19225,9496
2840,18198
2840,1350
11037,13997
2847,21475
13100,22115
4907,5715
4907,13861
2870,3153
6978,4957
11090,3142
15194,9987
13149,7460
19326,15538
21375,7663
13186,13186
2958,17571
13212,15749
15261,21658
11166,22041
11166,12039
17316,5352
11198,1912
11198,9496
21439,3142
7114,7663
11212,11838
17376,7777
3040,1271
21475,9379
21475,14172
3056,1184
1017,11389
7170,11598
1036,5149
5149,7776
5149,15759
11301,9714
21549,12094
21549,21549
7222,5289
9274,16187
9274,16144
1088,15714
17518,13918
11389,9848
11389,19841
11389,18359
17556,21956
9368,14282
9368,1940
3229,17840
9379,1330
17571,1973
15567,1940
15567,19783
17625,7642
13534,3612
1271,16187
9486,22041
9496,1912
7460,17848
7460,19957
1350,18198
19788,7683
3404,17848
11598,11598
9560,20083
9566,20027
15714,16019
15714,15991
19821,14042
7564,16128
15760,5683
21925,7663
1449,15976
5563,5563
3517,12039
21955,21955
15812,1513
3544,22334
7642,20031
11784,9866
11785,7969
11785,16017
11789,14000
22041,12039
15976,11959
20083,22293
9861,12097
18078,10063
3862,6067
12255,12255
[Finished in 0.328s]
