source,target
1041,13264
15098,21759
5280,19757
13128,15616
3246,8576
17560,19266
1125,7966
11688,13418
2644,5975
20736,21004
12038,14340
6980,20080
13961,18606
7368,14956
9332,9675
10027,20163
504,9450
6961,20892
8293,21856
4343,15090
351,6293
17254,20627
5509,10110
11804,12371
4542,6396
6961,16869
1390,15177
11747,12692
14027,19111
17401,19128
3094,4190
6442,9304
219,3679
4030,6227
12909,18732
2767,8903
3252,4584
12939,17984
504,11836
4794,15368
290,10370
554,12235
6559,7524
6009,22127
13264,20892
1476,7135
14001,17392
10775,22467
1089,15362
997,5280
11461,15663
2877,4241
9933,16578
6961,21824
10083,19703
3278,20734
9059,21025
16375,18423
3456,14948
6961,21626
6984,14637
501,18086
10385,16742
3158,18550
752,16869
17229,20265
4534,19000
20660,21729
365,9580
3838,9133
5232,13153
8810,21654
909,5306
13053,13776
10416,17386
6163,20792
9304,17449
1011,16432
3487,8988
19128,21253
19667,20020
187,13551
9436,19246
4886,21519
10174,19037
21803,22025
12464,19205
3833,20095
5577,7602
2858,9423
6070,12426
187,14628
11663,20837
1678,5280
365,21897
534,10439
17115,17682
702,22403
8405,14850
23,7082
3999,17858
5112,20435
2597,21781
5072,7367
377,20892
496,8387
15368,20079
5500,6674
4061,7177
3117,3594
14802,15980
3094,8715
899,11323
7060,21289
6823,13645
8896,20892
13128,18413
13053,15957
2106,5271
15341,20086
11473,18235
15470,18651
6329,16128
15398,18654
109,20107
8351,16086
4687,8576
11546,20131
7618,8333
14875,21254
4801,8074
12758,19624
10347,22467
8519,20992
8274,16709
6736,17110
8857,21629
1136,10174
1350,8576
4023,22286
9494,19128
594,10365
20876,21280
4419,13053
4464,5509
7171,20470
6396,18534
4382,13657
187,4967
6329,20624
4343,6422
8911,9256
839,12025
888,10190
19341,20778
19955,20568
8576,9338
3487,12007
15093,16721
6703,7833
7148,22369
2746,16375
5509,21351
7089,9138
14529,16375
481,2528
252,19111
13175,16086
7195,20022
6045,9528
7259,14142
6809,19266
9079,12044
7645,14529
10927,10933
10370,18782
5951,13530
10544,16994
10299,12308
15763,19128
18764,21930
8395,13053
